"","cage","site","depth","station","week","survivors","avlength","SD","tl","biom","min.do","max.do","mean.do","sd.do","min.temp","max.temp","mean.temp","sd.T","do.dur","temp.dur","mean.sal","sd.sal","ssat"
"1","MD1","M","deep","MD",0,10,41.6,8.720091743,416,1532.27072521852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","MD1","M","deep","MD",1,10,43.3,8.866228059,433,1741.84362435871,5.10571815,8.94134604,7.25178638631763,0.736638859548538,15.34,21.93,18.8621465968586,1.33438499734115,0,0,29.9524186736475,0.947621685776282,0
"3","MD1","M","deep","MD",2,10,44.6,7.605261337,446,1839.83259546594,5.45,9.49,7.59717079530639,0.633680204313803,14.38,21.4,17.4413298565841,1.42023903200267,0,0,31.0271758800522,0.731677356614568,15
"4","MD1","M","deep","MD",3,10,52.3,10.46947945,523,3416.76622464617,4.34,9.07,7.16019345238095,0.992622018800428,15.98,23.82,18.9744047619048,1.75926517392008,0,0,30.7368566964286,0.833169503054134,615
"5","MD1","M","deep","MD",4,10,50.5,21.80940164,505,4408.94780703513,2.53,10.91,6.57612173913043,1.04591077916621,19.38,23.81,20.883547826087,0.957661170317438,0,0,30.2373977391304,0.451491320769371,315
"6","MD1","M","deep","MD",5,8,60.25,11.90325586,482,4472.17555602327,4.13,11.16,6.82589308996089,1.11673863277578,19.85,24.06,21.3575619295958,0.943880898143587,0,0,30.1178178617992,0.433867936021658,870
"7","MD1","M","deep","MD",6,8,62.125,8.894345114,497,4636.52816119482,3.77,9.77,6.62794782608696,1.04382519732439,19.68,25.38,21.5768173913043,1.15956188096823,0,0,30.092548173913,0.553209530963719,480
"8","MD1","M","deep","MD",7,8,62.75,10.21946672,502,4909.87904664414,3.62,11.1,7.30778357235984,1.13778908877664,19.68,24.16,21.5362059973924,0.921268749576207,0,0,30.6906099104237,0.480834109606896,1785
"9","MD1","M","deep","MD",8,8,69.375,11.13482712,555,7021.44901739791,2.35,10.54,6.65373913043478,1.23933348732459,19.51,25.31,21.8274086956522,1.52115754507143,0,0,31.3863333913043,0.716669892541964,420
"10","MD1","M","deep","MD",9,8,66.625,9.313129173,533,5931.86710469173,4.27,11.92,7.32955671447197,1.3783573534617,21.54,24.54,22.6000130378096,0.516354084228804,0,0,29.5367383311604,1.36430491023266,2505
"11","MD1","M","deep","MD",10,6,68.66666667,10.73416146,412,5057.32675850341,5.28,12.65,8.43563988095238,1.43204777916278,19.87,24.31,22.0215922619048,1.32172131607866,0,0,29.9625596408899,0.468048297611332,4950
"12","MD1","M","deep","MD",11,6,72.83333333,11.8520978,437,6281.49998373937,5.89,11.02,8.29478827361564,1.03201502517893,19.85,23.4,21.1710586319218,0.940808208216767,0,0,30.9346481636645,0.615810702717019,3450
"13","MD2","M","deep","MD",0,10,44,8.843076388,440,1827.14016433551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","MD2","M","deep","MD",1,8,45.25,12.88167303,362,1835.06258090798,5.10571815,8.94134604,7.25178638631763,0.736638859548538,15.34,21.93,18.8621465968586,1.33438499734115,0,0,29.9524186736475,0.947621685776282,0
"15","MD2","M","deep","MD",2,7,50.42857143,11.92664655,353,2159.68243723793,5.45,9.49,7.59717079530639,0.633680204313803,14.38,21.4,17.4413298565841,1.42023903200267,0,0,31.0271758800522,0.731677356614568,15
"16","MD2","M","deep","MD",3,7,55.42857143,12.17558614,388,2939.81874036541,4.34,9.07,7.16019345238095,0.992622018800428,15.98,23.82,18.9744047619048,1.75926517392008,0,0,30.7368566964286,0.833169503054134,615
"17","MD2","M","deep","MD",4,6,54.33333333,12.68419839,326,2457.18851074063,2.53,10.91,6.57612173913043,1.04591077916621,19.38,23.81,20.883547826087,0.957661170317438,0,0,30.2373977391304,0.451491320769371,315
"18","MD2","M","deep","MD",5,6,65.16666667,12.54879366,391,4359.57817033602,4.13,11.16,6.82589308996089,1.11673863277578,19.85,24.06,21.3575619295958,0.943880898143587,0,0,30.1178178617992,0.433867936021658,870
"19","MD2","M","deep","MD",6,6,65.83333333,12.18491782,395,4496.90047836922,3.77,9.77,6.62794782608696,1.04382519732439,19.68,25.38,21.5768173913043,1.15956188096823,0,0,30.092548173913,0.553209530963719,480
"20","MD2","M","deep","MD",7,6,71,14.27118309,426,5955.05038500856,3.62,11.1,7.30778357235984,1.13778908877664,19.68,24.16,21.5362059973924,0.921268749576207,0,0,30.6906099104237,0.480834109606896,1785
"21","MD2","M","deep","MD",8,6,74.33333333,12.77584526,446,6792.25972453869,2.35,10.54,6.65373913043478,1.23933348732459,19.51,25.31,21.8274086956522,1.52115754507143,0,0,31.3863333913043,0.716669892541964,420
"22","MD2","M","deep","MD",9,3,83.33333333,3.858612301,250,4588.64624232412,4.27,11.92,7.32955671447197,1.3783573534617,21.54,24.54,22.6000130378096,0.516354084228804,0,0,29.5367383311604,1.36430491023266,2505
"23","MD2","M","deep","MD",10,3,82.66666667,6.018490028,248,4525.90923095495,5.28,12.65,8.43563988095238,1.43204777916278,19.87,24.31,22.0215922619048,1.32172131607866,0,0,29.9625596408899,0.468048297611332,4950
"24","MD2","M","deep","MD",11,2,86,6,172,3466.21358549878,5.89,11.02,8.29478827361564,1.03201502517893,19.85,23.4,21.1710586319218,0.940808208216767,0,0,30.9346481636645,0.615810702717019,3450
"25","MD3","M","deep","MD",0,10,47.6,11.84229707,476,2630.33280309622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
